Speed,Commande,Error,IntErr,kp,ki,kd,time,filter_type,current,voltage
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15500,1,0.716796,16.059765
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15525,1,0.728881,16.059765
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15550,1,0.740967,16.065136
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15575,1,0.632203,16.04768
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15601,1,0.656371,16.046337
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15625,1,0.716796,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15650,1,0.692627,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15675,1,0.728881,16.053051
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15700,1,0.716796,16.039623
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15725,1,0.704713,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15750,1,0.765138,16.053051
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15775,1,0.740967,16.044994
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15800,1,0.765138,16.051708
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15825,1,0.620117,16.057079
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15850,1,0.716796,16.04768
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15876,1,0.680542,16.059765
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15900,1,0.692627,16.054394
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15926,1,0.716796,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15950,1,0.704713,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,15976,1,0.680542,16.049023
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16000,1,0.716796,16.058422
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16026,1,0.668457,16.054394
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16050,1,0.753052,16.057079
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16076,1,0.765138,16.059765
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16100,1,0.765138,16.049023
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16125,1,0.632203,16.053051
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16150,1,0.740967,16.044994
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16175,1,0.704713,16.053051
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16200,1,0.740967,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16226,1,0.704713,16.053051
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16250,1,0.595946,16.04768
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16275,1,0.740967,16.04768
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16301,1,0.789306,16.04768
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16325,1,0.692627,16.051708
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16351,1,0.608032,16.050365
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16375,1,0.728881,16.063793
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16402,1,0.620117,16.050365
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16425,1,0.644288,16.051708
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16450,1,0.692627,16.055737
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16475,1,0.704713,16.051708
0.0,0.0,0.0,0.0,0.0003,0.0001,0.0003,16501,1,0.704713,16.044994
